time,odom_stamp,imu_stamp,x,y,yaw,vx,vy,vyaw,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1764611062.4173877,513.766000000,513.764000000,2.0001736133652166,-5.800569775994208e-06,6.489044130490763e-05,-3.1144989710867812e-06,7.685050494951873e-06,-3.320458080100887e-07,0.0008397112832525145,0.0010119132312215937,-7.328301249677148e-05,-0.06565240417363127,0.02147006979107307,10.186078589736214
1764611062.45133,513.800000000,513.799000000,2.000173639998702,-5.800649677091981e-06,6.489983012784196e-05,-9.558668573407491e-06,7.879966279787938e-06,6.042354437210157e-08,0.00031918616572451457,0.000269705498002257,-0.0001937440900590808,-0.08375560300448864,0.012650461325564667,9.939029306421716
1764611062.4852388,513.834000000,513.829000000,2.0001736545589317,-5.801779087303286e-06,6.491349669596605e-05,-6.521347865716935e-06,7.376962162933069e-06,1.5594120364114987e-07,0.00042914945405083955,0.0005468274925130555,0.0003224460887348157,-0.03683576284134031,0.01196686103936375,10.238692882053941
1764611062.5191739,513.868000000,513.864000000,2.0001736735954516,-5.802200948697914e-06,6.49331021000886e-05,-4.818596788656681e-06,7.908915403222915e-06,2.5398548879288214e-07,0.0005206183046685108,0.0007976699923420757,0.00014003813440799975,-0.04617896883703712,0.00031294336770026215,9.811181287676144
1764611062.5531445,513.902000000,513.899000000,2.0001736674543023,-5.801720385189669e-06,6.4950138939752e-05,-1.0095114467398729e-05,7.860409549029372e-06,1.4896369406549416e-08,0.00047529624929445845,0.0005733019973524217,-6.427221709244513e-05,-0.06599178936292832,-0.02799803847221907,9.613525578166499
1764611062.5871375,513.936000000,513.934000000,2.000173662030066,-5.801698280446832e-06,6.495830671973605e-05,-7.04076544942824e-06,7.793858318633588e-06,-3.1894368885880735e-07,0.0003736864798334523,0.001106560391841517,4.179926527154993e-05,-0.055224897226758204,0.014792379233948688,10.251971654009154
1764611062.6207788,513.970000000,513.969000000,2.000173661307504,-5.801678781586726e-06,6.49593106867147e-05,-5.000589551382411e-06,7.756868899998693e-06,-4.827846705091221e-07,0.0006080464625895891,0.00043063973293098486,0.0003297547820354075,-0.05489773294331866,0.037203447384697774,8.985898526429631
1764611062.6554544,514.4000000,513.999000000,2.000173648402239,-5.801101990886573e-06,6.495880888019805e-05,-5.092452915577298e-06,7.746601896380198e-06,-6.098302495162147e-07,0.00033157034507471533,0.0008051459091360432,1.834532739953249e-05,-0.07115459409995985,0.0007005397878278594,10.213877301095383
1764611062.689224,514.38000000,514.34000000,2.0001736574709246,-5.801144173828368e-06,6.494463116515187e-05,-7.832912192572365e-06,7.850665010461694e-06,-9.617085327905495e-07,0.0006175089486183547,0.0004724677287606203,-6.0662602573883595e-05,-0.08277587233726308,0.03689131138786087,9.898024120904818
1764611062.7231,514.72000000,514.69000000,2.000173681634305,-5.8012295703940956e-06,6.492895281397794e-05,-8.531940673205454e-06,7.881846602461712e-06,-7.113318147960058e-07,0.00039471015403918147,0.0007699017627444596,2.8882584154491718e-05,-0.05205802260380859,0.003496759029064422,9.529602745633783
1764611062.757276,514.106000000,514.104000000,2.0001737003451128,-5.800703428447502e-06,6.492805832172265e-05,-3.2793104009138818e-06,7.698803057012793e-06,-2.7421065045599383e-07,0.00019129999354068858,0.0010513773386234195,-8.976867015613523e-05,-0.06795429970745634,0.013313525628703946,10.176385311802841
1764611062.7910473,514.140000000,514.139000000,2.0001737151607704,-5.8023658837271606e-06,6.494276191516681e-05,-9.428842759416725e-06,7.847560007617686e-06,4.031126185587179e-07,0.00019800499695318485,0.0006729330724786248,-0.0002937043093218254,-0.08421166936175667,0.022105179216083196,9.261465712734841
1764611062.824995,514.174000000,514.169000000,2.0001737085352254,-5.802363488517761e-06,6.497304779774709e-05,-8.893419270879431e-06,7.803069149167947e-06,5.300279764916194e-07,0.00038582193760273694,0.0004119096590172418,-0.0003718426058194619,-0.048627629817956985,0.005399835854536685,9.634494471892657
1764611062.8582687,514.208000000,514.204000000,2.000173709474133,-5.802281835357876e-06,6.499877626557713e-05,-3.590607710758752e-06,7.7731783751664e-06,8.676016739068118e-08,0.00026166861833880567,0.00048217024564759935,4.526559173076769e-05,-0.027703137437802207,-0.029393782632630223,10.23206693433783
1764611062.8924072,514.242000000,514.239000000,2.0001737022121513,-5.8019326227079e-06,6.500706247645761e-05,-1.048986586413985e-05,8.025017684399535e-06,-5.709681573754418e-07,0.00036799760510296904,0.0007837866106978952,-0.0002298521306132549,-0.08902723788826966,-0.023253227137148724,9.631231472320726
1764611062.9263093,514.276000000,514.274000000,2.0001737028179774,-5.802217625115738e-06,6.498901735892869e-05,-3.820893016136214e-06,7.727123173530873e-06,-1.0854234589204247e-06,0.00040107448840066926,0.0005150883928764144,0.00023839966983559883,-0.04740868460250605,0.00862115132904145,9.855915045631676
1764611062.9599812,514.310000000,514.309000000,2.0001737099042676,-5.8018871138731025e-06,6.496302753334058e-05,-4.67364132033346e-06,7.731385809240816e-06,-1.1213216020223142e-06,0.0007514438579247897,0.0008177730765274062,-0.00020819512219319387,-0.10666143654462634,0.01925139141568823,10.19287437360324
1764611062.994365,514.344000000,514.339000000,2.0001737327658664,-5.801995056339469e-06,6.494892103058073e-05,-7.423262377830577e-06,7.8379312360251e-06,-5.068919844180788e-07,0.00044986315702368794,0.000749312305412069,0.00016434563520613103,-0.08351075717497333,-0.0019639086403524728,9.535103920805696
1764611063.0280983,514.378000000,514.374000000,2.000173768141218,-5.802517734914962e-06,6.495864383398067e-05,-6.999095276128853e-06,7.73793780354474e-06,2.5061315169084625e-07,0.0005088067450787645,0.0008893532461101588,-1.7638791045809514e-05,-0.04865105766198508,-0.010075500548210735,9.476381286484504
1764611063.0624642,514.412000000,514.409000000,2.0001737754484594,-5.8023686839807326e-06,6.498105350197102e-05,-8.381824837969606e-06,7.1992228522875685e-06,3.871626436532828e-07,0.0003403676638071777,0.0006143045770244341,-0.00019253515584331232,-0.04581865586111554,-0.0243359451826896,9.923756085629968
1764611063.0968108,514.446000000,514.444000000,2.000173789627098,-5.8040431213768296e-06,6.500840276157291e-05,-3.5016638051738545e-06,7.708725917874717e-06,4.1719564950350184e-07,0.00040761071321382034,0.0006625868976262014,9.436086618668318e-05,-0.05152986679704053,0.008986343686817841,10.19236884455784
1764611063.1302788,514.480000000,514.479000000,2.0001737949236156,-5.8034765342314376e-06,6.502737154149122e-05,-9.674980684915862e-06,7.878021896278837e-06,1.8807864231676192e-08,0.0005569850301850819,0.0006170827893099122,0.00010492069560418007,-0.05911959100921678,-0.005329359021544447,9.286116110552486
1764611063.164516,514.514000000,514.509000000,2.000173780839679,-5.803325215006579e-06,6.503157340436596e-05,-9.119378935837033e-06,7.81584953640512e-06,-4.412758288317385e-07,0.0002876856788067083,0.0005960723090971842,-1.5292190575201723e-05,-0.07078600566844506,-0.0015183568824889094,9.646768607694153
1764611063.198473,514.548000000,514.544000000,2.0001737865563736,-5.803150878326471e-06,6.502715118546954e-05,-5.174150982105716e-06,7.761092947481508e-06,-5.772870717557295e-07,0.00038229481098777843,0.00038879985971624123,0.00030225163017285597,-0.052984113770807306,0.007061507856525277,9.832454596723737
1764611063.2321632,514.582000000,514.579000000,2.0001737707151936,-5.803192426065616e-06,6.501421260479512e-05,-8.873257581184009e-06,7.900350118543878e-06,-7.429911493965733e-07,0.00037446644312315324,0.0010206524406688113,-3.3890258171306086e-05,-0.05042616077061668,-0.0017477640445828632,9.847157362575837
1764611063.2664165,514.616000000,514.614000000,2.000173780229223,-5.8025340773119484e-06,6.500265584566613e-05,-9.21161088234979e-06,7.877167994941787e-06,-6.900409082678461e-07,0.0004882677845412231,0.00044774060435118386,3.560122760570233e-05,-0.08370350528579573,-0.0022023104413399974,9.556444139638515
1764611063.300001,514.650000000,514.649000000,2.0001738041586465,-5.802727954250211e-06,6.499774126546077e-05,-7.963538835573216e-06,7.748406408929606e-06,-3.433682692174563e-07,0.000452455432918098,0.0005667057778244279,3.415314875212344e-05,-0.04006451935715469,0.021231429457853602,9.162844885672776
1764611063.3344085,514.684000000,514.679000000,2.00017382483648,-5.803259466173736e-06,6.500519771950747e-05,-3.7930816188388995e-06,7.72200147846268e-06,-1.1082056156589774e-08,0.000354331442778207,0.0009919018174411754,0.00014528893257078395,-0.04589241705827558,0.04234225042475483,10.429808245929031
1764611063.368182,514.718000000,514.714000000,2.0001738498396353,-5.803327080172398e-06,6.501884028638792e-05,-7.188310257926769e-06,7.725138381157903e-06,3.529980572073127e-08,0.00019950537185910102,0.0005306290642361176,-0.0005467854769004896,-0.054817683425696054,0.0027367727085493903,9.476944652455682
1764611063.402454,514.752000000,514.749000000,2.000173850104326,-5.803261424113855e-06,6.503705287688269e-05,-8.289855595469216e-06,6.905451599844707e-06,1.9859839106143215e-07,0.0004228661086103891,0.0006406495990704138,-3.974705698042128e-05,-0.06842842201134236,-0.02423371528724904,9.951598000535666
1764611063.4361174,514.786000000,514.784000000,2.0001738573602594,-5.805308355124587e-06,6.505543963332422e-05,-3.7164777007808038e-06,7.7084303042627e-06,1.4079363640867973e-07,0.00012785736656473277,0.0011056797760048984,0.00034602947508725483,-0.02823186310047259,0.003378763351136219,10.175607468226776
1764611063.470072,514.820000000,514.819000000,2.0001738551424233,-5.804515755405412e-06,6.506605897781692e-05,-9.916512808455308e-06,7.907670937103394e-06,-1.3470843539859063e-07,0.00034099691774489704,0.00017765361490485067,0.00013875025103253616,-0.04787723628972171,0.02778027505039056,9.282245050245315
1764611063.50432,514.854000000,514.849000000,2.000173841722126,-5.804122193259046e-06,6.506860167745345e-05,-7.636714263739384e-06,7.883972920092654e-06,-3.8963125309516317e-07,0.00019369035775744368,0.0004849753259424869,1.890980651342731e-06,-0.04646715993648276,0.051260151905790696,9.846616422338004
1764611063.538304,514.888000000,514.884000000,2.000173849659828,-5.803269062675336e-06,6.50577470056466e-05,-8.468585620685487e-06,7.872813407183621e-06,-9.908055310823375e-07,0.0005437359072033626,0.0008226193090006488,0.0002978949053969052,-0.07456342964676045,0.011835650745383505,9.528545647792896
1764611063.5722938,514.922000000,514.919000000,2.0001738733773595,-5.8033024349140884e-06,6.503694197138054e-05,-8.814062896677633e-06,7.87038231549353e-06,-9.264982795266702e-07,0.0003082605274072564,0.0008245796553899459,2.118552342862631e-05,-0.05904030530244052,0.00858372059086145,9.148956122668878
1764611063.6062388,514.956000000,514.954000000,2.0001738880289825,-5.802802823620921e-06,6.502830649839707e-05,-4.58012069592388e-06,7.859416268716315e-06,-4.818024650449835e-07,0.0006652774697648566,0.0010274472893653612,-0.00020437077403492854,-0.07848124096098502,-0.007374840216433624,10.234259773025146
1764611063.6399202,514.990000000,514.989000000,2.000173906208137,-5.804758862688059e-06,6.503884290567584e-05,-7.823516409208602e-06,7.857991789810605e-06,3.8318600291147477e-07,0.0004928194838688875,0.00045623172903205963,-7.419082830826392e-05,-0.07646749533157758,-0.008515222131941533,8.825297770943001
1764611063.6754916,515.24000000,515.19000000,2.0001738977986965,-5.804517957901051e-06,6.507141813170506e-05,-9.568430048309501e-06,7.825210436869765e-06,6.81602202973388e-07,0.0007479971892093533,0.0006224618722415223,0.00026468888704098457,-0.06986346184585085,0.020074986704715622,9.20629911791705
1764611063.7093453,515.58000000,515.54000000,2.0001739078449416,-5.804334705454823e-06,6.510265800941062e-05,-4.125743283393771e-06,7.757007965601803e-06,2.6614872421587165e-07,0.00028555956786265133,0.0008236526291237411,-0.000159950782253996,-0.04719031667207814,-0.02753999225058885,10.237875890033333
1764611063.744125,515.92000000,515.89000000,2.0001738998061045,-5.804357390526215e-06,6.510527475454805e-05,-9.155924060998941e-06,7.89738618922356e-06,-7.249004132130765e-07,0.00041957156507122087,0.00046679285447669746,-0.0002894573030787377,-0.049594279071471736,0.032594741915496786,9.493635587224786
1764611063.7780132,515.126000000,515.124000000,2.00017389833937,-5.805318513987912e-06,6.508266922912986e-05,-3.9137043923833495e-06,7.691924112677924e-06,-1.1079065644581772e-06,0.0004083119061160869,0.0007349578391282647,0.00014224121555913216,-0.05684547904294889,0.0062343832186110455,10.167148505057229
1764611063.8118095,515.160000000,515.159000000,2.000173904720212,-5.804026336638434e-06,6.506143381429675e-05,-7.173757106688457e-06,7.808974167994555e-06,-9.105657710130554e-07,0.0004319686008307823,0.0009411274915635831,0.00037841786698760517,-0.057777214834946904,0.016246066673358466,10.282834542549837
1764611063.8459907,515.194000000,515.189000000,2.000173927265735,-5.804096872032177e-06,6.505455583582605e-05,-8.051050486470767e-06,7.852697040136082e-06,-3.2099716576381695e-07,0.00017944494345215956,0.0005547367016007392,0.0003104999038004289,-0.06871872619152408,0.004469327171229445,9.155522822930852
1764611063.8804479,515.228000000,515.224000000,2.0001739615775143,-5.804742616527991e-06,6.506746526605705e-05,-3.970864350055565e-06,7.725265203447086e-06,2.503720065177587e-07,0.00022968307233118653,0.0010060854519573675,-0.0003315891259242611,-0.05021192822458892,0.009921320272370526,9.793063109750179
1764611063.9141676,515.262000000,515.259000000,2.000173969198385,-5.804174470174484e-06,6.508768140509279e-05,-9.021325366642912e-06,7.3389276258403286e-06,2.3309131663255906e-07,0.0004165587541085894,0.0009442514045944538,-5.0348426702526936e-05,-0.04534688121885162,-0.0208728464868747,9.612549616465728
1764611063.948146,515.296000000,515.294000000,2.000173979389025,-5.806193092491893e-06,6.511034220641847e-05,-4.4128760530946e-06,7.486520421073598e-06,2.9994131791988274e-07,0.00026412178593151223,0.0008949139676064457,-1.5237012926443604e-05,-0.05534496761355642,-0.02225760976069629,10.218247251053567
1764611063.981992,515.330000000,515.329000000,2.000173988028715,-5.805859875659483e-06,6.512666636775077e-05,-8.091704996924931e-06,7.908394319395283e-06,2.505848639565793e-10,0.000691279480122532,0.0005269220855345074,0.0002319131880364639,-0.09123753442216728,-0.007569035921907564,8.785706101280493
1764611064.0163388,515.364000000,515.359000000,2.000173972192082,-5.805463366257412e-06,6.513180401727964e-05,-9.789363019925097e-06,7.83383205634071e-06,-3.561988393129547e-07,0.0002820310152368998,0.0001384783276699953,1.5262246890396694e-05,-0.05121239166622857,0.02624969204799412,9.26621744610471
1764611064.0501318,515.398000000,515.394000000,2.0001739749108314,-5.805197770621855e-06,6.513038070145656e-05,-4.360218829575864e-06,7.776915913342045e-06,-4.822650106057305e-07,0.0006926031608807523,0.0008090719024865957,-0.0001974857922784766,-0.08524370609853506,0.01163264444893377,10.196539577148988
1764611064.0847552,515.432000000,515.429000000,2.000173959773063,-5.805362306799482e-06,6.511987091605023e-05,-9.374120145849533e-06,7.908451029937448e-06,-6.908521695264251e-07,0.0005445060053876611,0.00045568937241474174,4.417822247924549e-05,-0.07367197926584472,0.018128509868775726,9.490919974724717
1764611064.1186078,515.466000000,515.464000000,2.000173968373641,-5.804463395959168e-06,6.510834840678866e-05,-9.09602504813323e-06,7.813143318370736e-06,-7.149287444449199e-07,0.000493075138796962,0.0006415237650888941,-0.0001296357653070153,-0.07264955946386092,-0.0017695197935674728,9.104959160452918
